# Int_pr, E_atm_pr, Intstor_pr, R_pr_meas, R_pr_swds, R_pr_mss, R_pr_up, Intcp_cp, E_atm_cp, Intstor_cp, R_cp_meas, R_cp_swds, R_cp_mss, R_cp_up, Intcp_op, E_atm_op, Intstor_op, P_op_gw, R_op_meas, R_op_swds, R_op_mss, R_op_up, Sum_r_up, Init_stor_up, Act_infilcap_up, Tfac_up, E_atm_up, I_up_uz, Fin_stor_up, R_up_meas, R_up_ow, Sum_i_uz, R_meas_uz, Theta_h3_uz, T_alpha_uz, T_atm_uz, Gwl_up_uz, Gwl_low_uz, Theta_eq_uz, Capris_max_uz, P_uz_gw, Theta_uz, Sum_p_gw, R_meas_gw, Sc_gw, H_gw, S_gw_out, D_gw_ow, Gwl, Gwl_sl, Sum_r_swds, R_meas_swds, Sum_r_mss, R_meas_mss, Q_swds_ow, Q_mss_out, Q_mss_ow, So_swds, So_mss, Stor_swds, Stor_mss, Prec_ow, E_atm_ow, Sum_r_ow, Sum_d_ow, Sum_q_ow, Sum_so_ow, R_meas_ow, Q_ow_out, Owl
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9735411,1.531831731,-0.063826322,193.4825961,-0.053750545,0,0.206451639,1.504719739,0.041666667,-0.053435147,1.504719739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.449873648,0,0,0,-0.043496209,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9678473,1.531418929,-0.063809122,193.5464052,-0.05373606,0,0.206471974,1.504922657,0.041666667,-0.053505905,1.504922657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.451793546,0,0,0,-0.043553806,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9621656,1.531007006,-0.063791959,193.6101972,-0.053721606,0,0.206492266,1.505125143,0.041666667,-0.053576512,1.505125143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.453709357,0,0,0,-0.043611281,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.956496,1.53059596,-0.063774832,193.673972,-0.053707183,0,0.206512514,1.505327198,0.041666667,-0.053646969,1.505327198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.455621092,0,0,0,-0.043668633,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9508385,1.530185789,-0.063757741,193.7377297,-0.053692791,0,0.20653272,1.505528823,0.041666667,-0.053717276,1.505528823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.457528759,0,0,0,-0.043725863,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.945193,1.52977649,-0.063740687,193.8014704,-0.053678429,0,0.206552882,1.505730019,0.041666667,-0.053787434,1.505730019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.459432368,0,0,0,-0.043782971,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0,1.5,1.6,193.9395595,1.529368061,-0.063723669,193.8651941,-0.053664097,0,0.206573002,1.505930787,0.041666667,-0.053857442,1.505930787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.461331928,0,0,0,-0.043839958,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,116.6,1,0.014744478,1.5,1.6,193.933938,1.528960501,-0.063706688,193.9141563,-0.053649796,0,0.206593079,1.506131129,0.041666667,-0.053927302,1.506131129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016415584,0,-1.463227449,0,0,0,-0.044389291,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.9283284,1.528553808,-0.063689742,193.7566789,-0.053635526,0,0.206613113,1.506331045,0.041666667,-0.053997013,1.506331045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.46511894,0,0,0,-0.051340581,1.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,130.7004013,1,0.221167169,1.5,1.6,193.9227308,1.52814798,-0.063672832,193.5991845,-0.053621286,0,0.206633104,1.506530535,0.041666667,-0.054066575,1.506530535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246233766,0,-1.467006411,0,0,0,-0.051397205,1.5
