date,P_atm,E_pot_OW,Ref.grass
11/1/1990 9:00,1.5,0.012180619,0.010940217
11/1/1990 10:00,0.5,0,0
11/1/1990 11:00,0.5,0,0
11/1/1990 12:00,2.5,0.035312846,0.031716796
11/1/1990 13:00,1.5,0,0
11/1/1990 14:00,0,0,0
11/1/1990 15:00,0,0.037666556,0.033830818
11/1/1990 16:00,0,0,0
11/1/1990 17:00,0,0,0
11/1/1990 18:00,0,0,0
11/1/1990 19:00,0,0,0
11/1/1990 20:00,0,0,0
11/1/1990 21:00,0,0,0
11/1/1990 22:00,0,0,0
11/1/1990 23:00,0,0,0
12/1/1990 0:00,0,0,0
12/1/1990 1:00,0,0,0
12/1/1990 2:00,0,0,0
12/1/1990 3:00,0,0,0
12/1/1990 4:00,0,0,0
12/1/1990 5:00,0,0,0
12/1/1990 6:00,0,0,0
12/1/1990 7:00,0,0,0
12/1/1990 8:00,0,0,0
12/1/1990 9:00,0,0.079117954,0.071061052
12/1/1990 10:00,0,0,0
12/1/1990 11:00,0,0,0
12/1/1990 12:00,0,0.216471512,0.19442734
12/1/1990 13:00,0,0,0
12/1/1990 14:00,0,0,0
12/1/1990 15:00,0,0.095699517,0.085954047
12/1/1990 16:00,0,0,0
12/1/1990 17:00,0,0,0
12/1/1990 18:00,0,0,0
12/1/1990 19:00,0,0,0
12/1/1990 20:00,0,0,0
12/1/1990 21:00,0,0,0
12/1/1990 22:00,0,0,0
12/1/1990 23:00,0,0,0
13/01/1990 00:00,0,0,0
13/01/1990 01:00,0,0,0
13/01/1990 02:00,0,0,0
13/01/1990 03:00,0,0,0
13/01/1990 04:00,0,0,0
13/01/1990 05:00,0,0,0
13/01/1990 06:00,0,0,0
13/01/1990 07:00,0,0,0
13/01/1990 08:00,0,0,0
13/01/1990 09:00,0,0.090276167,0.081082979
13/01/1990 10:00,0,0,0
13/01/1990 11:00,0,0,0
13/01/1990 12:00,0,0.24746716,0.222266576
13/01/1990 13:00,0,0,0
13/01/1990 14:00,0,0,0
13/01/1990 15:00,0,0.097241008,0.087338562
13/01/1990 16:00,0,0,0
13/01/1990 17:00,0,0,0
13/01/1990 18:00,0,0,0
13/01/1990 19:00,0,0,0
13/01/1990 20:00,0,0,0
13/01/1990 21:00,0,0,0
13/01/1990 22:00,0,0,0
13/01/1990 23:00,0,0,0
14/01/1990 00:00,0,0,0
14/01/1990 01:00,0,0,0
14/01/1990 02:00,0,0,0
14/01/1990 03:00,0,0,0
14/01/1990 04:00,0,0,0
14/01/1990 05:00,0,0,0
14/01/1990 06:00,0,0,0
14/01/1990 07:00,0,0,0
14/01/1990 08:00,0,0,0
14/01/1990 09:00,0,0.131953042,0.118515729
14/01/1990 10:00,0,0,0
14/01/1990 11:00,0,0,0
14/01/1990 12:00,0,0.256238796,0.23014496
14/01/1990 13:00,0,0,0
14/01/1990 14:00,0,0,0
14/01/1990 15:00,0,0.133527516,0.119929868
14/01/1990 16:00,0,0,0
14/01/1990 17:00,0,0,0
14/01/1990 18:00,0,0,0
14/01/1990 19:00,0,0,0
14/01/1990 20:00,0,0,0
14/01/1990 21:00,0,0,0
14/01/1990 22:00,0,0,0
14/01/1990 23:00,0,0,0
15/01/1990 00:00,0,0,0
15/01/1990 01:00,0,0,0
15/01/1990 02:00,0,0,0
