theta_rz_0,theta_rz_1,theta_rz_2,theta_rz_3,theta_rz_4,theta_rz_5,theta_rz_6,theta_rz_7,theta_rz_8,theta_rz_9
193.486617,193.4486084,193.486617,193.4071987,193.4897405,171.938086,28.75655443,193.4978372,193.4071987,193.486617
193.4672872,193.4291686,193.4672872,193.3876389,193.4704197,171.8930703,28.71218187,193.4785398,193.3876389,193.4672872
193.4479425,193.4097141,193.4479425,193.3680648,193.4510841,171.8480422,28.66779246,193.4592276,193.3680648,193.4479425
193.4914629,193.4531249,193.4914629,193.4113563,193.4946135,171.8658813,28.68626603,193.5027804,193.4113563,193.4914629
193.5541059,193.5156586,193.5541059,193.4737709,193.5572655,171.9028453,28.72386015,193.5654557,193.4737709,193.5541059
193.5769631,193.5408434,193.5769631,193.5014901,193.5799313,171.939797,28.76143751,193.5876254,193.5014901,193.5769631
193.5722956,193.5362401,193.5722956,193.4969567,193.5752586,171.9767362,28.79899814,193.582939,193.4969567,193.5722956
193.5677678,193.5317869,193.5677678,193.4925847,193.5707246,172.0136631,28.83654207,193.5783891,193.4925847,193.5677678
193.5632488,193.5273423,193.5632488,193.4882211,193.5661995,172.0505777,28.87406935,193.5738481,193.4882211,193.5632488
193.5587391,193.5229069,193.5587391,193.4838665,193.5616837,172.08748,28.91158,193.5693165,193.4838665,193.5587391
193.5542387,193.5184806,193.5542387,193.4795209,193.5571772,172.1243701,28.94907406,193.5647942,193.4795209,193.5542387
193.5497477,193.5140635,193.5497477,193.4751842,193.5526801,172.161248,28.98655156,193.5602814,193.4751842,193.5497477
193.5452659,193.5096556,193.5452659,193.4708565,193.5481923,172.1981137,29.02401253,193.5557778,193.4708565,193.5452659
193.5407934,193.5052567,193.5407934,193.4665378,193.5437137,172.2348697,29.04794026,193.5512836,193.4665378,193.5407934
193.5363302,193.5008669,193.5363302,193.4622279,193.5392445,172.2319713,29.04504207,193.5467986,193.4622279,193.5363302
193.5318762,193.4964862,193.5318762,193.4579269,193.5347844,172.2292107,29.04222908,193.542323,193.4579269,193.5318762
193.5274314,193.4921145,193.5274314,193.4536348,193.5303336,172.2264582,29.03942144,193.5378566,193.4536348,193.5274314
193.5080122,193.4725888,193.5080122,193.4339931,193.5109232,172.1813809,28.99491799,193.5184688,193.4339931,193.5080122
193.4885787,193.4530491,193.4885787,193.4143376,193.4914984,172.1362916,28.9503982,193.4990667,193.4143376,193.4885787
193.4691308,193.4334952,193.4691308,193.3946682,193.4720593,172.0911904,28.90586212,193.4796501,193.3946682,193.4691308
193.4496688,193.4139273,193.4496688,193.3749851,193.4526059,172.0460773,28.86130977,193.4602193,193.3749851,193.4496688
193.4301924,193.3943454,193.4301924,193.3552882,193.4331382,172.0009525,28.81674119,193.4407741,193.3552882,193.4301924
193.4107019,193.3747495,193.4107019,193.3355775,193.4136564,171.9558158,28.77215641,193.4213147,193.3355775,193.4107019
193.3911972,193.3551397,193.3911972,193.3158531,193.3941603,171.9106674,28.72755546,193.401841,193.3158531,193.3911972
193.3716783,193.3355159,193.3716783,193.296115,193.3746501,171.8655073,28.68293838,193.3823531,193.296115,193.3716783
193.3521454,193.3158783,193.3521454,193.2763633,193.3551257,171.8203354,28.63830519,193.3628511,193.2763633,193.3521454
193.3325983,193.2962267,193.3325983,193.2565979,193.3355872,171.775152,28.59365593,193.3433348,193.2565979,193.3325983
193.3744505,193.3379747,193.3744505,193.2982323,193.377448,171.7913703,28.61040397,193.3852178,193.2982323,193.3744505
193.4367599,193.40018,193.4367599,193.3603242,193.4397659,171.8280481,28.64760712,193.4475579,193.3603242,193.4367599
193.4667236,193.4323548,193.4667236,193.3949068,193.4695479,171.8647144,28.68479429,193.4768687,193.3949068,193.4667236
193.4622518,193.4279438,193.4622518,193.3905621,193.4650711,171.9013692,28.72196553,193.4723789,193.3905621,193.4622518
193.4579515,193.4237143,193.4579515,193.3864096,193.460765,171.9380125,28.75912085,193.4680578,193.3864096,193.4579515
193.4536594,193.4194927,193.4536594,193.3822648,193.456467,171.9746444,28.79626029,193.4637448,193.3822648,193.4536594
193.4493761,193.4152798,193.4493761,193.3781285,193.4521779,172.1789204,28.99065928,193.4594407,193.3781285,193.4493761
193.4462983,193.4122716,193.4462983,193.3740007,193.4490944,172.1764749,28.98812245,193.4563423,193.3740007,193.4462983
193.4468111,193.4128518,193.4468111,193.3698814,193.4496017,172.2889749,28.98842644,193.4568353,193.3698814,193.4468111
193.4519557,193.4180608,193.4519557,193.3657844,193.4584819,172.2114749,28.99164,193.4619608,193.3657844,193.4519557
